YEAR,MONTH,DAY,TEMPERATURE_AVG,RADIATION
2011,03,23,9.5,15991
2011,03,24,10.9,15150
2011,03,25,10.4,15371
2011,03,26,9,8842
2011,03,27,10.1,10350
2011,03,28,8.3,14072
2011,03,29,9.1,16046
2011,03,30,11.4,8006
2011,03,31,12.2,6296
2011,04,01,14.6,11012
2011,04,02,16.4,15407
2011,04,03,12.1,8974
2011,04,04,10.4,12955
2011,04,05,9.4,7352
2011,04,06,15.7,16620
2011,04,07,14.1,16658
2011,04,08,12.3,17601
2011,04,09,11,19276
2011,04,10,13.8,19017
2011,04,11,13.7,19375
2011,04,12,9.6,13884
2011,04,13,8.9,14452
2011,04,14,9.3,9248
2011,04,15,11.9,11258
2011,04,16,10.7,13323
2011,04,17,11.1,18923
2011,04,18,13.6,18957
2011,04,19,16.7,22532
2011,04,20,17,22281
2011,04,21,16.6,21045
2011,04,22,19.1,22227
2011,04,23,18.1,22337
2011,04,24,18.5,18779
2011,04,25,15.3,21497
2011,04,26,13.6,16219
2011,04,27,11.7,13918
2011,04,28,11.6,12014
2011,04,29,14.4,17443
2011,04,30,16.8,19819
2011,05,01,15.8,21694
2011,05,02,13.3,20852
2011,05,03,10.3,21351
2011,05,04,10.3,22978
2011,05,05,12.6,22247
2011,05,06,16,20827
2011,05,07,18.6,21082
2011,05,08,20.5,13815
2011,05,09,17.1,20151
2011,05,10,17.1,20509
2011,05,11,14.1,21063
2011,05,12,13.7,18973
2011,05,13,13.2,20989
2011,05,14,12.6,18459
2011,05,15,12.9,11824
2011,05,16,13,11813
2011,05,17,14.8,16893
2011,05,18,15.1,16414
2011,05,19,14.6,13928
2011,05,20,14.1,21594
2011,05,21,14.6,25279
2011,05,22,15.6,18481
2011,05,23,16.3,26308
2011,05,24,14.2,23027
2011,05,25,15,27718
2011,05,26,14.8,12032
2011,05,27,13,13773
2011,05,28,12.3,18194
2011,05,29,16.6,19344
2011,05,30,18.3,23004
2011,05,31,13.6,17012
2011,06,01,12.8,26881
2011,06,02,14.9,26663
2011,06,03,19.4,24938
2011,06,04,22.1,24214
2011,06,05,19.3,14388
2011,06,06,16.3,6992
2011,06,07,14.3,13312
2011,06,08,13.8,22906
2011,06,09,13.9,22999
2011,06,10,14,14925
2011,06,11,12,18484
2011,06,12,12.6,19883
2011,06,13,16.7,14953
2011,06,14,17,20410
2011,06,15,17.7,16873
2011,06,16,16.3,15098
2011,06,17,13.1,15088
2011,06,18,14.9,15148
2011,06,19,15.2,18107
2011,06,20,13.4,12946
2011,06,21,18,15287
2011,06,22,16.6,14147
2011,06,23,16,17876
2011,06,24,15.3,19345
2011,06,25,15,13800
2011,06,26,20,22427
2011,06,27,25.5,28907
2011,06,28,26.2,21048
2011,06,29,17.6,19938
2011,06,30,15,20185
2011,07,01,15.2,23359
2011,07,02,13.9,26050
2011,07,03,14.8,28278
2011,07,04,16.1,26465
2011,07,05,20.1,26187
2011,07,06,18.4,17171
2011,07,07,17.7,18109
2011,07,08,17.3,17610
2011,07,09,17.5,18099
2011,07,10,15.7,20191
2011,07,11,16.8,22146
2011,07,12,19,15457
2011,07,13,14.8,8095
2011,07,14,14.1,10226
2011,07,15,17.3,23400
2011,07,16,15.9,10460
2011,07,17,15.1,15304
2011,07,18,15.6,11279
2011,07,19,14.7,17304
2011,07,20,15,13584
2011,07,21,17,12921
2011,07,22,16.4,14524
2011,07,23,13.7,15854
2011,07,24,16.3,16610
2011,07,25,16.2,13636
2011,07,26,15,8639
2011,07,27,15.9,9995
2011,07,28,16.8,10417
2011,07,29,17.5,15268
2011,07,30,15.3,11199
2011,07,31,16.4,19870
2011,08,01,17.2,26144
2011,08,02,19.2,20803
2011,08,03,20.7,15135
2011,08,04,19.8,18325
2011,08,05,18.5,15466
2011,08,06,18.3,9196
2011,08,07,16.2,16594
2011,08,08,16.1,14778
2011,08,09,16.3,17589
2011,08,10,16.1,20782
2011,08,11,18.8,15354
2011,08,12,18.8,12776
2011,08,13,18.3,8561
2011,08,14,17.6,12407
2011,08,15,16.5,17430
2011,08,16,18.6,16849
2011,08,17,17,16228
2011,08,18,17.4,11490
2011,08,19,18.1,13965
2011,08,20,17.9,20737
2011,08,21,21.7,13783
2011,08,22,17.7,9628
2011,08,23,19.7,11738
2011,08,24,18.3,9909
2011,08,25,17.1,17138
2011,08,26,17.6,7685
2011,08,27,15.3,14747
2011,08,28,15.3,11835
2011,08,29,14.7,13787
2011,08,30,15.2,11415
2011,08,31,14,14167
2011,09,01,15.7,20725
2011,09,02,19.5,18598
2011,09,03,21.4,18690
2011,09,04,19,9511
2011,09,05,15.5,13011
2011,09,06,15.9,7140
2011,09,07,15.6,10857
2011,09,08,15.3,6102
2011,09,09,18.5,8439
2011,09,10,21.3,12508
2011,09,11,17.3,8577
2011,09,12,18.3,10902
2011,09,13,16.2,11862
2011,09,14,14.1,14079
2011,09,15,13.9,12856
2011,09,16,15.3,13027
2011,09,17,14.7,6773
2011,09,18,12.8,11602
2011,09,19,12.9,13173
2011,09,20,15.1,7849
2011,09,21,16.1,7293
